region,zone,district,pop_2017,pop_2018,pop_2019,pop_2020
region_10,zone_33,district_292,11179.54543,11548.47043,11929.56996,12323.24576
region_10,zone_85,district_002,76915.27258,79453.47657,82075.4413,84783.93086
region_10,zone_85,district_141,92880.34358,95945.39492,99111.59295,102382.2755
region_10,zone_38,district_148,40123.94116,41448.03122,42815.81625,44228.73818
region_10,zone_38,district_110,32991.98628,34080.72183,35205.38565,36367.16338
region_10,zone_73,district_187,38718.63404,39996.34896,41316.22848,42679.66402
region_10,zone_85,district_239,49566.61881,51202.31723,52891.9937,54637.42949
region_10,zone_69,district_233,116171.2049,120004.8547,123965.0149,128055.8604
region_10,zone_85,district_029,88259.74819,91172.31988,94181.00643,97288.97964
region_09,zone_68,district_209,73153.33429,75567.39432,78061.11833,80637.13523
region_09,zone_68,district_084,285251.8403,294665.151,304389.101,314433.9413
region_09,zone_68,district_063,267281.2523,276101.53370000003,285212.8843,294624.9094
region_09,zone_68,district_082,13610.99029,14060.15297,14524.13802,15003.43458
region_09,zone_68,district_173,188384.2672,194600.948,201022.7793,207656.531
region_09,zone_68,district_295,12347.65915,12755.13191,13176.05126,13610.86095
region_05,zone_19,district_007,71731.02406,74098.14785,76543.38673,79069.31849
region_05,zone_18,district_288,30694.01584,31706.91836,32753.24667,33834.10381
region_05,zone_19,district_137,11541.7117,11922.58818,12316.03359,12722.4627
region_05,zone_19,district_244,17563.36343,18142.95442,18741.67192,19360.14709
region_02,zone_50,district_124,7489.870362,7737.036084,7992.358275,8256.106098
region_02,zone_09,district_118,43508.41039,44944.18793,46427.34613,47959.44856
region_02,zone_09,district_106,106621.4077,110139.9141,113774.5313,117529.0908
region_02,zone_09,district_032,12976.77426,13405.00781,13847.37307,14304.33638
region_02,zone_86,district_023,17886.42254,18476.67448,19086.40474,19716.25609
region_02,zone_31,district_109,29168.83679,30131.4084,31125.74488,32152.89446
region_02,zone_40,district_078,52093.28109,53812.35937,55588.16723,57422.57675
region_02,zone_09,district_248,29474.04263,30446.68604,31451.42668,32489.32376
region_02,zone_09,district_031,38064.01427,39320.12674,40617.69092,41958.07472
region_02,zone_09,district_196,94712.42878,97837.93893,101066.5909,104401.7884
region_02,zone_29,district_156,74709.11894,77174.51986,79721.27902,82352.08122
region_02,zone_31,district_166,27841.74398,28760.52153,29709.61875,30690.03616
region_02,zone_50,district_051,61358.27624,63383.09935,65474.74163,67635.40811
region_02,zone_31,district_036,23441.33888,24214.90306,25013.99486,25839.45669
region_06,zone_55,district_219,10960.2053,11321.89208,11695.51452,12081.46649
region_06,zone_63,district_016,26423.68453,27295.66612,28196.4231,29126.90507
region_06,zone_02,district_188,11248.40803,11619.6055,12003.05248,12399.15321
region_06,zone_02,district_131,28721.65497,29669.46959,30648.56208,31659.96463
region_06,zone_63,district_185,50485.63696,52151.66298,53872.66785,55650.46589
region_06,zone_43,district_178,13046.48701,13477.02108,13921.76278,14381.18095
region_07,zone_39,district_003,22164,22895,23651,24431
region_07,zone_39,district_125,28195,29126,30087,31080
region_07,zone_39,district_001,38682,39959,41277,42639
region_07,zone_39,district_262,19239,19874,20530,21207
region_01,zone_65,district_205,236237.8226,244033.6707,252086.7818,260405.6456
